id,latitude,longitude,period,persist,radius,drogue,t,u,v
114909.0,23.322,-45.334,34.600505666730264,102.25,39253.340874132686,1.0,12852.5,0.04642003479403491,-0.06820285648847767
114909.0,23.316,-45.31999999999999,36.328692430969575,102.25,39782.01206537072,1.0,12852.75,0.04241674502364999,-0.06739827337175738
114909.0,23.295,-45.329999999999984,45.302556452975686,102.25,49163.42555208503,1.0,12853.0,0.038943198019677036,-0.06864218801728979
114909.0,23.295,-45.31400000000002,52.13716098679423,102.25,66533.65356959912,1.0,12853.25,0.05297036348157882,-0.07620014564613013
114909.0,23.265,-45.31400000000002,52.13716098679423,102.25,75965.04962919156,1.0,12853.5,0.06182851464464276,-0.08604807705279949
114909.0,23.266,-45.291,52.862091773575806,102.25,86701.58467812413,1.0,12853.75,0.06996394305791294,-0.09659985734404156
114909.0,23.232,-45.271000000000015,52.862091773575806,102.25,92029.60647414826,1.0,12854.0,0.07577607321544032,-0.10142337606513734
114909.0,23.208,-45.26299999999998,46.71992470430865,102.25,80250.99791905111,1.0,12854.25,0.08786198734569947,-0.08879198711227107
114909.0,23.197,-45.249000000000024,45.53272305085342,102.25,77237.00502001897,1.0,12854.5,0.09460218551455982,-0.07916858744911716
114909.0,23.179,-45.22500000000002,43.41196660684863,102.25,69385.45672649327,1.0,12854.75,0.09420651957206284,-0.06808063271716253
114909.0,23.181,-45.204999999999984,35.38166169539248,102.25,48248.133387236536,1.0,12855.0,0.08206677506946138,-0.055670409824712885
114909.0,23.148,-45.184000000000026,33.931119692826805,102.25,27285.49130377183,1.0,12855.25,0.050124521153539714,-0.030121790812186692
114909.0,23.153,-45.17599999999999,33.931119692826805,102.25,12453.926949740095,1.0,12855.5,0.02028633639494403,-0.017346610266057993
114909.0,23.142,-45.18099999999998,33.931119692826805,102.25,9533.767388862476,1.0,12855.75,-0.00981375261158153,-0.017922009485262107
114909.0,23.161,-45.17399999999998,33.931119692826805,102.25,22694.613925913098,1.0,12856.0,-0.03475715815164744,-0.03402585336151091
114909.0,23.142,-45.204999999999984,63.077396858900826,102.25,55651.34032142233,1.0,12856.25,-0.04147268414723032,-0.048954989697860204
114909.0,23.109,-45.20600000000002,65.63942415781948,102.25,75428.59079732354,1.0,12856.5,-0.05354616261920739,-0.06415866142268664
114909.0,23.116,-45.20100000000002,65.63942415781948,102.25,87806.47964064007,1.0,12856.75,-0.059588945359522937,-0.07689438417505752
114909.0,23.097,-45.252999999999986,65.63942415781948,102.25,88552.89528729321,1.0,12857.0,-0.0556132920756158,-0.08082282097894307
114909.0,23.061,-45.252999999999986,65.63942415781948,102.25,58676.50862515975,1.0,12857.25,-0.04313000207236482,-0.048639696533000265
114909.0,23.049,-45.25200000000001,30.444761266166598,102.25,28290.15747178891,1.0,12857.5,-0.05574435370148852,-0.03819696156409868
114909.0,23.047,-45.240999999999985,23.803246320881726,102.25,30790.47805428426,1.0,12857.75,-0.08152797649814297,-0.04692716988770623
114909.0,23.054,-45.271000000000015,15.190114571187996,102.25,27168.111156814943,1.0,12858.0,-0.10010445294456236,-0.08304408655202752
114909.0,23.042,-45.31099999999998,10.578682228923991,102.25,23388.853818800057,1.0,12858.25,-0.05026997417679252,-0.15272361804546783
114909.0,22.998,-45.34800000000001,9.74310605856412,102.25,23000.514492225815,1.0,12858.5,-6.926081749088729E-5,-0.1716746660233263
114909.0,22.946,-45.339999999999975,8.215997663950715,102.25,17828.31511946321,1.0,12858.75,0.05245732578866946,-0.1488291469926261
114909.0,22.9,-45.315999999999974,6.878421706460912,102.25,11050.825420293872,1.0,12859.0,0.07415602800469932,-0.0902842349097427
114909.0,22.905,-45.259000000000015,7.798753862139417,102.25,4134.19237996383,1.0,12859.25,-0.0030793932414526336,-0.038427453660904214
114909.0,22.925,-45.26400000000001,5.698137040958367,102.25,4710.905413972242,1.0,12859.5,-0.05276447116564477,-0.028820746034360013
114909.0,22.944,-45.281000000000006,3.8493803726093407,102.25,5595.183222049263,1.0,12859.75,-0.09023707943368706,-0.05505008561170868
114909.0,22.919,-45.329999999999984,2.2583068256126597,102.25,4019.4112115397434,1.0,12860.0,-0.08896572353570134,-0.09401089237741919
114909.0,22.881,-45.34800000000001,1.7577943754914647,102.25,1946.0503480094333,1.0,12860.25,-0.01464086232740587,-0.07916801077885728
114909.0,22.843,-45.358000000000004,1.7577943754914647,102.25,1474.5247800367042,1.0,12860.5,0.034229844109771645,-0.05049421327668606
114909.0,22.831,-45.33600000000001,2.2583068256126597,102.25,2071.4870725604187,1.0,12860.75,0.06669422343171295,-0.0012575313111546586
114909.0,22.84,-45.315,2.2583068256126597,102.25,2174.709836875331,1.0,12861.0,0.055085114227347916,0.043241640533817086
114909.0,22.867,-45.281000000000006,2.2583068256126597,102.25,1870.13302031233,1.0,12861.25,-0.049451858812999884,0.03436875527528897
114909.0,22.879,-45.29199999999997,2.598448210389655,102.25,4822.454263163529,1.0,12861.5,-0.13493201945017788,-0.002969689458486422
114909.0,22.89,-45.32499999999999,5.635125088434717,102.25,17200.35544675701,1.0,12861.75,-0.20808671812866816,-0.07727802425174513
114909.0,22.867,-45.408000000000015,5.635125088434717,102.25,22140.10783714826,1.0,12862.0,-0.23365694705262552,-0.16444139324428808
114909.0,22.814,-45.46199999999999,5.635125088434717,102.25,20736.373726421512,1.0,12862.25,-0.16748660173633736,-0.20871285159221623
114909.0,22.749,-45.492999999999995,5.635125088434717,102.25,18763.44237022754,1.0,12862.5,-0.09987338008946273,-0.22058874563546527
114910.0,24.594,-41.25799999999998,29.389524855987254,105.0,27342.61163631398,1.0,12734.0,0.06029029919316642,0.030701249521076366
114910.0,24.58,-41.25999999999999,24.62015081874999,105.0,22473.020772103206,1.0,12734.25,0.04095581614255297,0.052239045300695786
114910.0,24.595,-41.26600000000002,24.62015081874999,105.0,24009.516761576713,1.0,12734.5,0.03435878722803799,0.062039431393505776
114910.0,24.612,-41.262,24.62015081874999,105.0,25992.366361503966,1.0,12734.75,0.03556361013433992,0.06804166792450377
114910.0,24.635,-41.24599999999998,24.62015081874999,105.0,26641.59429835769,1.0,12735.0,0.035510012647069565,0.07022544917078292
114910.0,24.634,-41.226,29.092115918027744,105.0,35863.45199626302,1.0,12735.25,0.017763641597661906,0.0878709400727666
114910.0,24.647,-41.23399999999998,41.4916456466948,105.0,58593.313047451695,1.0,12735.5,0.016616958027283205,0.101342709452177
114910.0,24.67,-41.235000000000014,51.79281082155163,105.0,78888.97902751205,1.0,12735.75,0.023240522790435654,0.10830213549989326
114910.0,24.7,-41.228999999999985,51.79281082155163,105.0,76653.775261238,1.0,12736.0,0.030722150395961594,0.10315133797854134
114910.0,24.722,-41.21199999999999,51.79281082155163,105.0,61966.366274361244,1.0,12736.25,0.011774447589208547,0.08620630746977836
114910.0,24.727,-41.196000000000026,51.79281082155163,105.0,60198.47070499649,1.0,12736.5,0.004176459877634581,0.08442115611629811
114910.0,24.733,-41.21100000000001,50.95757819746553,105.0,62827.32454045345,1.0,12736.75,0.005055577921763818,0.08951883857346385
114910.0,24.767,-41.221000000000004,41.48298709152562,105.0,53437.3156566896,1.0,12737.0,0.01381623725556539,0.09265422654904595
114910.0,24.79,-41.206999999999994,28.666621229349268,105.0,28484.63214044739,1.0,12737.25,-6.885853357151107E-4,0.07225709772693888
